NATIONAL,SPORT:Netball,NAME:Netball Australia,CONTACT_NAME:Shirelle McMahon,CONTACT_EMAIL:netballAust@fakedomain.org,CONTACT_ADDRESS:1 Infinite Loop,,,,,,,,,,,
STATE,NAME:Netball WA,PARENT:Netball Australia,CONTACT_NAME:Natalie Medhurst,CONTACT_EMAIL:NetballWA@fakedomain.org,CONTACT_ADDRESS:2 Infinite Loop,,,,,,,,,,,
ASSOCIATION,NAME:Southern Districts Netball Association,SHORT:SDNA_WA,PARENT:Netball WA,CONTACT_NAME:Courtney Bruce,CONTACT_EMAIL:SDNA@fakedomain.org,CONTACT_ADDRESS:50 Serpentine Meander,UMPIRE:Alayna Vanputten,UMPIRE:Alberta Bradley,UMPIRE:Alberta Fitzwater,UMPIRE:Alberta Hosey,UMPIRE:Alberta Howie,UMPIRE:Alberta Mcwhorter,UMPIRE:Alejandra Cumberland,UMPIRE:Alejandra Luppino,,
ASSOCIATION,NAME:Perth Netball Association,SHORT:PNA_WA,PARENT:Netball WA,CONTACT_NAME:Ingrid Colyer,CONTACT_EMAIL:PNA@fakedomain.org,CONTACT_ADDRESS:51 Serpentine Meander,UMPIRE:Alesia Blender,UMPIRE:Alesia Fundora,UMPIRE:Alesia Odome,UMPIRE:Alesia Steinour,UMPIRE:Aleta Golida,UMPIRE:Alex Fobbs,UMPIRE:Ali Bashor,,,
ASSOCIATION,NAME:Kalamunda Netball Association,SHORT:KNA_WA,PARENT:Netball WA,CONTACT_NAME:Jessica Anstiss,CONTACT_EMAIL:KNL@fakedomain.org,CONTACT_ADDRESS:52 Serpentine Meander,UMPIRE:Ali Berthelette,UMPIRE:Ali Brucato,UMPIRE:Ali Kingma,UMPIRE:Ali Serpas,UMPIRE:Alice Clark,UMPIRE:Alice Gabbard,UMPIRE:Alice Gayton,,,
CLUB,NAME:Hearts Netball Club,SHORT:Hearts,PARENT:SDNA_WA,CONTACT_NAME:Verity Simmons,CONTACT_EMAIL:Hearts@fakedomain.org,CONTACT_ADDRESS:54 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Aranmore Jets Netball Club,SHORT:AJets,PARENT:PNA_WA,CONTACT_NAME:Kaylia Stanton,CONTACT_EMAIL:AJets@fakedomain.org,CONTACT_ADDRESS:550 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Classics,SHORT:Classics,PARENT:PNA_WA,CONTACT_NAME:Caitlyn Thwaites,CONTACT_EMAIL:Classics@fakedomain.org,CONTACT_ADDRESS:551 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Rebels Netball Club,SHORT:Rebels,PARENT:KNA_WA,CONTACT_NAME:Stacey Francis,CONTACT_EMAIL:Rebels@fakedomain.org,CONTACT_ADDRESS:56 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Manaaki Netball Club,SHORT:Manaaki,PARENT:SDNA_WA,CONTACT_NAME:Caitlyn Bassett,CONTACT_EMAIL:Manaaki@fakedomain.org,CONTACT_ADDRESS:570 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Crusaders Netball Club,SHORT:Crusaders,PARENT:SDNA_WA,CONTACT_NAME:Stephanie Wood,CONTACT_EMAIL:Crusaders@fakedomain.org,CONTACT_ADDRESS:58 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Firebirds Netball Club,SHORT:Firebirds,PARENT:SDNA_WA,CONTACT_NAME:Clara Riversong,CONTACT_EMAIL:Firebirds@fakedomain.org,CONTACT_ADDRESS:59 Serpentine Meander,,,,,,,,,,
CLUB,NAME:Harlequins Netball Club,SHORT:Harlies,PARENT:SDNA_WA,CONTACT_NAME:Rose Tyler,CONTACT_EMAIL:Harlies@fakedomain.org,CONTACT_ADDRESS:500 Serpentine Meander,,,,,,,,,,
COMPETITION,NAME:Winter 2017,ASSOCIATION:SDNA_WA,START:28/4/2017,END:16/9/2017,,,,,,,,,,,,
DIVISION,NAME:Open,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,,,,,,,,,,,,,
